,City,Cloudiness %,Country,Date,Humidity,Lat,Lon,Max Temperature (C),Wind Speed
41,Souillac,0,FR,1532561400,73,45.6,-0.6,22.0,1.5
42,Zharkent,0,KZ,1532562512,68,44.17,80.0,6.94,1.37
43,Port Alfred,92,ZA,1532562513,100,-33.59,26.89,16.84,1.32
44,Gunjur,20,GM,1532559600,83,13.18,-16.76,26.0,3.1
45,Pisco,75,PE,1532559600,82,-13.71,-76.2,17.0,3.1
46,Nizhniy Chir,44,RU,1532562513,60,48.36,43.08,25.44,4.77
47,Aswan,8,EG,1532562514,24,24.09,32.9,32.94,4.57
48,Chuy,92,UY,1532562514,95,-33.69,-53.46,13.69,11.37
49,Saint Anthony,75,US,1532560620,45,43.97,-111.68,24.0,3.6
50,Vestmanna,12,FO,1532560800,93,62.16,-7.17,9.0,2.1
51,Cap Malheureux,40,MU,1532559600,68,-19.98,57.61,22.0,5.7
52,Nanortalik,0,GL,1532562515,88,60.14,-45.24,5.04,3.57
53,Kisangani,68,CD,1532562515,96,0.52,25.21,22.59,1.27
54,Tasiilaq,0,GL,1532559000,75,65.61,-37.64,6.0,6.2
55,Buzmeyin,0,TM,1532559600,24,38.05,58.21,27.0,1.0
56,Chistogorskiy,0,RU,1532562516,91,53.98,87.38,11.39,1.07
57,Saint-Philippe,90,CA,1532561220,94,45.36,-73.48,25.0,3.1
58,Ponta do Sol,0,BR,1532562516,67,-20.63,-46.0,14.09,2.07
59,Vestmannaeyjar,80,IS,1532562516,99,63.44,-20.27,10.34,8.02
60,Dunkirk,0,FR,1532560800,73,51.03,2.38,22.0,3.6
61,Tulum,20,MX,1532558760,62,20.21,-87.46,31.0,5.7
62,Chitungwiza,0,ZW,1532562517,78,-18.01,31.07,2.14,1.42
63,Bafq,0,IR,1532562517,20,31.6,55.4,20.79,1.37
64,Saqqez,32,IR,1532562518,67,36.24,46.27,17.04,0.72
65,Saldanha,0,PT,1532562518,82,41.42,-6.55,16.94,1.72
66,Tessalit,0,ML,1532562518,32,20.2,1.01,29.79,6.07
67,Hambantota,12,LK,1532562518,99,6.12,81.12,26.54,8.37
68,Bull Savanna,36,JM,1532562519,61,17.89,-77.59,28.14,2.77
69,Tazovskiy,12,RU,1532562519,64,67.47,78.7,11.69,8.17
70,Castro,48,CL,1532562519,99,-42.48,-73.76,2.34,1.82
71,Mitsamiouli,44,KM,1532562520,100,-11.38,43.28,23.69,7.97
72,Maiduguri,48,NG,1532562520,81,11.84,13.15,25.44,2.27
73,Gouyave,20,GD,1532559600,78,12.16,-61.73,28.0,3.1
74,Mocuba,0,MZ,1532562520,89,-16.84,36.99,13.99,1.17
75,Sao Jose da Coroa Grande,88,BR,1532562521,92,-8.9,-35.15,23.19,3.47
76,Lagoa,0,PT,1532561400,73,37.14,-8.45,21.0,3.1
77,Timmins,40,CA,1532559600,57,48.48,-81.33,25.0,3.6
78,Nouadhibou,0,MR,1532559600,88,20.93,-17.03,20.0,9.3
79,Raudeberg,0,NO,1532560800,81,61.99,5.14,12.0,1.5
80,Upernavik,92,GL,1532562522,91,72.79,-56.15,4.04,2.12
81,Ostrovnoy,0,RU,1532562522,62,68.05,39.51,20.34,6.72
82,Urengoy,36,RU,1532562523,65,65.96,78.37,13.79,8.17
83,Umm Lajj,0,SA,1532562523,100,25.02,37.27,25.54,1.62
84,Mufumbwe,68,ZM,1532562523,51,-13.68,24.8,14.69,4.87
85,Ziarat,0,PK,1532562523,58,30.38,67.73,13.49,1.77
86,Czestochowa,0,PL,1532561400,93,50.8,19.12,15.0,0.5
87,Kulhudhuffushi,20,MV,1532562524,100,6.62,73.07,26.59,7.47
88,Codrington,0,AU,1532562524,77,-28.95,153.24,16.44,1.47
89,Dingle,76,PH,1532562524,90,11.0,122.67,26.59,3.02
90,Agadir,0,MA,1532561400,77,30.42,-9.58,19.0,1.5
91,Viedma,0,AR,1532562525,55,-40.81,-62.99,3.59,4.37
92,Mogapinyana,0,BW,1532562525,73,-22.37,27.59,5.59,2.12
93,Hofn,80,IS,1532562525,98,64.25,-15.21,9.59,2.87
94,Ribeira Grande,12,PT,1532562526,100,38.52,-28.7,21.29,3.37
95,Gamba,48,CN,1532562526,100,28.28,88.52,0.09,0.32
96,Paita,0,PE,1532559600,88,-5.09,-81.11,21.0,3.77
97,Contamana,0,PE,1532562526,70,-7.35,-75.01,25.54,1.22
98,Bati,92,ET,1532562527,97,11.19,40.02,18.44,2.57
99,Novomichurinsk,20,RU,1532562527,88,54.04,39.74,16.89,3.42
100,Ancud,48,CL,1532562527,88,-41.87,-73.83,2.74,2.02
101,Sultanpur,92,IN,1532562528,97,26.26,82.07,24.69,5.02
102,Sinnamary,36,GF,1532562528,94,5.38,-52.96,27.34,4.87
103,Harer,24,US,1532562528,23,42.19,-111.17,27.69,4.22
104,Arroyohondo,40,CO,1532559600,79,10.25,-75.02,29.0,6.2
105,Bakchar,92,RU,1532562529,94,57.02,82.07,14.34,2.32
106,Santa Margherita Ligure,0,IT,1532560800,73,44.33,9.21,25.0,2.1
107,Culpeper,90,US,1532561460,94,38.47,-78.0,25.0,1.5
108,Bud,0,NO,1532560800,87,62.91,6.91,13.0,3.6
109,Aksu,0,KZ,1532559600,100,52.04,76.93,11.0,3.0
110,Catalina,40,CO,1532559600,70,8.86,-75.38,30.0,1.77
111,Cambrils,0,ES,1532561400,73,41.07,1.07,22.0,0.5
112,Klaksvik,0,FO,1532560800,93,62.23,-6.59,9.0,2.1
113,Senanga,0,ZM,1532562531,65,-16.1,23.3,9.84,3.32
114,Sur,0,OM,1532562531,83,22.57,59.53,31.14,1.87
115,Bandarbeyla,0,SO,1532562531,79,9.49,50.81,24.04,11.97
116,Kulunda,0,RU,1532562532,85,52.57,78.94,13.04,3.47
117,Akniste,0,LV,1532562532,88,56.16,25.75,18.24,2.22
118,Mehamn,100,NO,1532562532,99,71.03,27.85,10.59,4.02
119,Port-Cartier,75,CA,1532559600,61,50.03,-66.88,25.0,4.1
120,Crewe,90,US,1532560500,100,37.17,-78.12,26.0,1.5
121,Pudozh,20,RU,1532562533,83,61.81,36.54,15.94,1.67
122,Bereda,40,ES,1532559600,88,43.27,-7.54,20.0,1.5
123,Rawson,8,AR,1532562533,37,-43.3,-65.11,7.29,5.07
124,Khash,0,IR,1532562533,40,28.22,61.21,23.09,0.92
125,Umm Kaddadah,24,SD,1532562534,68,13.6,26.69,25.39,4.82
126,Aracati,8,BR,1532562262,62,-4.56,-37.77,27.84,5.67
127,Arraial do Cabo,40,BR,1532559600,88,-22.97,-42.02,20.0,1.5
128,At-Bashi,0,KG,1532562535,64,41.17,75.81,4.49,0.82
129,Necochea,0,AR,1532562535,92,-38.55,-58.74,3.34,3.22
130,Zlobin,40,HR,1532561400,47,45.29,14.65,27.0,1.0
131,Stepnyak,0,KZ,1532562535,80,52.83,70.79,9.69,2.62
132,Semypolky,0,UA,1532559600,88,50.72,30.95,21.0,3.0
133,Cidreira,92,BR,1532562536,96,-30.17,-50.22,15.54,7.92
134,Sainte-Thecle,92,CA,1532562536,98,46.82,-72.5,20.14,2.72
135,Usinsk,24,RU,1532562536,68,66.0,57.56,19.49,1.47
136,Vannes,0,FR,1532561400,67,47.66,-2.76,19.0,3.1
137,Grand Gaube,40,MU,1532559600,68,-20.01,57.66,22.0,5.7
138,Meulaboh,44,ID,1532562537,100,4.14,96.13,25.59,0.77
139,Gari,44,RU,1532562537,78,59.43,62.35,16.94,1.02
140,Vila Velha,0,BR,1532559600,83,-3.71,-38.6,26.0,4.6
141,Laguna,20,MX,1532558520,41,27.52,-110.01,36.0,6.2
142,San Cristobal,75,EC,1532559600,62,-0.39,-78.55,14.0,6.2
143,Rocha,92,UY,1532562539,96,-34.48,-54.34,12.29,9.02
144,Kiruna,32,SE,1532560800,87,67.86,20.23,12.0,1.5
145,Port Said,0,EG,1532562539,26,25.34,30.55,28.09,1.82
146,Cockburn Town,0,TC,1532562539,97,21.46,-71.14,28.09,9.07
147,Kalabo,0,ZM,1532562540,47,-15.0,22.67,11.84,4.02
148,Aripuana,0,BR,1532562540,45,-9.17,-60.63,28.04,1.62
149,Thompson,75,CA,1532559600,35,55.74,-97.86,21.0,4.1
150,Booue,32,GA,1532562540,91,-0.09,11.94,22.64,1.32
151,Lenger,0,KZ,1532559600,37,42.18,69.89,22.0,3.0
152,Biggar,0,GB,1532560800,87,55.62,-3.52,14.0,0.5
153,Afonso Bezerra,0,BR,1532562541,57,-5.5,-36.51,27.29,6.02
154,Qasigiannguit,75,GL,1532559000,93,68.82,-51.19,4.0,2.42
155,Soyo,0,AO,1532562541,97,-6.13,12.37,18.54,1.67
156,Saint-Augustin,0,FR,1532561400,77,44.83,-0.61,21.0,1.5
157,Novo Aripuana,8,BR,1532562542,71,-5.12,-60.38,26.94,1.67
158,Vila Franca do Campo,40,PT,1532561400,88,37.72,-25.43,20.0,6.2
159,Carutapera,56,BR,1532562543,82,-1.2,-46.02,26.69,5.02
160,Vardo,90,US,1532560500,88,39.62,-77.74,25.0,0.77
161,Hualmay,20,PE,1532562543,85,-11.1,-77.61,17.29,2.42
162,Hamilton,20,CA,1532559600,54,43.26,-79.87,28.0,4.6
163,Paamiut,0,GL,1532562544,96,61.99,-49.67,4.84,6.87
164,Darnah,0,LY,1532562544,94,32.77,22.64,26.34,7.07
165,Mongu,8,ZM,1532562544,52,-15.27,23.14,12.29,4.42
166,Tumbi,92,NG,1532562545,99,7.5,4.3,21.09,2.07
167,Villaviciosa,75,ES,1532559600,94,43.48,-5.43,21.0,1.0
168,Kontagora,92,NG,1532562545,99,10.4,5.47,21.39,2.27
169,Elizabeth City,40,US,1532560500,74,36.3,-76.22,28.0,4.6
170,Bambous Virieux,40,MU,1532559600,68,-20.34,57.76,22.0,5.7
171,Terny,20,UA,1532562546,96,50.99,33.98,19.34,3.87
172,Saint-Ambroise,0,FR,1532561400,82,47.25,-0.65,20.0,0.57
173,Bathsheba,40,BB,1532559600,83,13.22,-59.52,27.0,7.2
174,Arroyo,1,US,1532559240,94,41.39,-78.88,23.0,1.17
175,Marsa Matruh,0,EG,1532559600,83,31.35,27.25,25.0,3.1
176,Obigarm,48,TJ,1532562548,74,38.72,69.71,4.19,0.72
177,Zharkovskiy,76,RU,1532562548,99,55.85,32.27,17.24,1.72
178,Mogadishu,100,SO,1532562548,99,2.04,45.34,24.69,10.17
179,Colares,75,PT,1532561400,77,38.8,-9.45,21.0,3.6
180,Nurota,0,UZ,1532562549,46,40.56,65.69,20.59,5.62
181,Newcastleton,0,GB,1532559000,76,55.18,-2.81,13.0,3.6
182,Beckley,75,US,1532560500,88,37.78,-81.19,24.0,1.32
183,Puerto Leguizamo,24,CO,1532562549,88,-0.19,-74.78,25.44,0.97
184,Cesme,0,TR,1532559000,83,38.32,26.31,23.0,1.0
185,Marsaxlokk,0,MT,1532560500,61,35.84,14.54,25.0,3.1
186,Quelimane,0,MZ,1532562550,85,-17.88,36.89,15.89,1.72
187,Wadi Musa,0,JO,1532562550,64,30.32,35.48,21.19,0.17
188,Maceio,75,BR,1532559600,73,-9.67,-35.74,24.0,2.6
189,Husavik,56,CA,1532562551,84,50.56,-96.99,17.09,7.37
190,Bilma,0,NE,1532562551,37,18.69,12.92,25.54,1.07
191,Maragheh,92,IR,1532562551,54,37.39,46.24,22.59,1.07
192,Beyla,88,GN,1532562551,95,8.69,-8.65,20.24,2.52
193,Manitouwadge,12,CA,1532562552,64,49.12,-85.84,20.29,2.77
194,Kaka,0,TM,1532562370,69,37.35,59.62,13.89,1.07
195,Bongandanga,24,CD,1532562552,97,1.51,21.07,22.49,1.02
196,Faya,40,SA,1532559600,56,18.39,42.45,22.0,1.87
197,Rio Grande,92,BR,1532562280,94,-32.03,-52.1,14.69,10.12
198,Roanoke Rapids,40,US,1532560500,94,36.46,-77.65,26.0,2.57
199,Idah,100,NG,1532562553,100,7.11,6.73,22.19,1.52
200,Aland,92,IN,1532562553,80,17.57,76.57,24.39,6.42
201,Comodoro Rivadavia,0,AR,1532559600,75,-45.87,-67.48,5.0,0.5
202,Kampene,92,CD,1532562553,34,-3.59,26.67,26.94,1.12
203,Kokorevka,20,RU,1532562554,93,52.59,34.27,17.89,2.57
204,Henties Bay,0,NA,1532562554,59,-22.12,14.28,19.04,4.82
205,Sorland,56,NO,1532562554,96,67.67,12.69,13.14,4.87
206,Port-Gentil,75,GA,1532559600,78,-0.72,8.78,24.0,3.6
207,Santa Rosa,0,AR,1532562556,91,-36.62,-64.29,4.79,4.07
208,Tabou,92,CI,1532562557,100,4.42,-7.36,25.44,7.62
209,Puerto Cabezas,40,NI,1532559600,79,14.04,-83.39,30.0,3.1
210,Iqaluit,75,CA,1532559600,81,63.75,-68.52,11.0,1.5
211,Sao Sebastiao,12,BR,1532562558,95,-3.15,-58.36,24.14,1.52
212,Eyl,8,SO,1532562558,70,7.98,49.82,26.59,9.82
213,Utiel,75,ES,1532561400,78,39.57,-1.21,26.0,2.1
214,Mahibadhoo,80,MV,1532562558,100,3.78,72.97,28.34,8.72
215,El Alto,20,BO,1532559600,33,-16.5,-68.19,8.0,2.6
216,Coquimbo,20,CL,1532559600,93,-29.95,-71.34,9.0,2.1
217,Powassan,75,CA,1532559600,53,46.08,-79.36,25.0,5.7
218,Palkino,48,RU,1532559600,87,57.54,28.01,16.0,1.0
219,Tamandare,0,BR,1532562559,62,-8.28,-70.75,24.84,2.32
220,Port Shepstone,0,ZA,1532562560,88,-30.74,30.45,16.09,6.12
221,Suluq,40,LY,1532559600,78,31.67,20.25,25.0,2.22
222,Talnakh,44,RU,1532562560,91,69.49,88.39,7.54,6.02
223,Lasa,40,CY,1532561400,78,34.92,32.53,25.0,1.5
224,Nyamuswa,80,TZ,1532562561,71,-1.9,34.02,18.69,2.37
225,Malindi,64,KE,1532562561,78,-3.22,40.12,24.89,8.37
226,Obernai,0,FR,1532561400,77,48.46,7.48,21.0,0.67
227,Bastia,0,IT,1532560800,73,44.6,8.98,25.0,2.1
228,Sovetskiy,12,RU,1532562562,75,56.76,48.47,16.19,1.47
229,Dakar,40,SN,1532559600,69,14.69,-17.45,26.0,4.1
230,Carnarvon,20,ZA,1532562563,71,-30.97,22.13,4.94,2.67
231,Saint-Georges,92,CA,1532562563,81,46.12,-70.67,22.39,4.67
232,Los Llanos de Aridane,20,ES,1532561400,64,28.66,-17.92,22.0,5.7
233,Ilulissat,75,GL,1532559000,93,69.22,-51.1,4.0,2.42
234,Amqui,75,CA,1532559600,54,48.47,-67.43,29.0,7.7
235,Kutum,100,SD,1532562564,34,14.2,24.66,26.29,1.77
236,Birecik,0,TR,1532560800,56,37.03,37.98,20.0,0.5
237,Halvad,92,IN,1532562565,81,23.02,71.18,26.69,6.02
238,Jaciara,0,BR,1532562565,65,-15.95,-54.98,18.54,2.32
239,Sanchor,92,IN,1532562565,77,24.76,71.77,26.94,6.12
240,Black River,20,JM,1532559600,70,18.03,-77.85,30.0,7.7
241,Centreville,90,US,1532561460,94,38.84,-77.43,25.0,2.6
242,San Luis,0,AR,1532562348,45,-33.3,-66.34,3.09,2.07
243,Afua,100,NG,1532562566,99,5.27,7.87,22.29,1.47
244,Bonthe,92,SL,1532562567,100,7.53,-12.5,23.79,3.02
245,Plettenberg Bay,64,ZA,1532562567,100,-34.05,23.37,15.69,1.17
246,Hit,0,IQ,1532562567,22,33.64,42.83,32.34,5.92
247,Vigrestad,20,NO,1532559000,87,58.57,5.7,15.0,1.07
248,Sonamukhi,92,IN,1532562568,99,23.3,87.41,23.99,3.22
249,Baherden,0,TM,1532562568,43,38.44,57.43,21.44,1.82
250,Dubasari,20,MD,1532561400,94,47.26,29.16,20.0,4.1
251,Syamzha,64,RU,1532562568,72,60.02,41.06,18.44,3.42
252,Maniitsoq,92,GL,1532562569,100,65.42,-52.9,4.49,5.82
253,Sinor,76,IN,1532562569,96,21.91,73.34,24.99,4.57
254,Kolno,68,PL,1532562569,85,53.41,21.93,19.69,1.32
255,Monrovia,75,LR,1532559600,94,6.33,-10.8,24.0,3.22
256,Palatka,75,US,1532559360,83,29.65,-81.64,32.0,2.6
257,Jaru,0,BR,1532562570,42,-10.43,-62.48,27.84,2.27
258,Mana,0,RS,1532561400,87,43.52,20.24,19.0,3.1
259,Itarema,0,BR,1532562571,74,-2.92,-39.92,26.19,7.67
260,Peterhead,0,AU,1532559600,87,-34.83,138.5,11.0,3.6
261,Ferrol,75,ES,1532561400,100,43.48,-8.23,20.0,1.07
262,Carlet,75,ES,1532561400,78,39.23,-0.52,26.0,2.1
263,Saint-Leu,0,RE,1532559600,72,-21.15,55.28,20.0,2.6
264,Camopi,80,GF,1532562572,98,3.17,-52.33,22.84,0.27
265,Chabahar,12,IR,1532562572,100,25.29,60.65,28.69,1.82
266,Ortigueira,40,ES,1532559600,88,43.68,-7.85,20.0,1.5
267,Mecca,0,SA,1532559600,36,21.43,39.83,33.0,1.52
268,Ratnagiri,92,IN,1532560345,100,16.98,73.3,25.19,7.92
269,Makokou,44,GA,1532562573,96,0.56,12.85,21.69,1.22
270,Newcastle,0,ZA,1532562359,68,-27.76,29.92,-0.92,0.77
271,Ciudad Bolivar,56,VE,1532562573,87,8.12,-63.55,25.54,1.42
272,Banda Aceh,20,ID,1532562574,93,5.56,95.32,24.89,1.77
273,Ardakan,0,IR,1532559600,9,32.31,54.02,29.0,2.1
274,Capao da Canoa,92,BR,1532562574,94,-29.75,-50.01,16.09,9.32
275,Caravelas,32,BR,1532562575,98,-17.73,-39.27,24.69,6.57
276,Lamu,80,ID,1532562575,94,0.57,122.3,25.34,1.02
277,Chicama,75,PE,1532560020,88,-7.84,-79.15,18.0,4.6
278,Laukaa,0,FI,1532560800,77,62.42,25.95,20.0,1.42
279,Andover,90,US,1532561160,83,42.66,-71.14,28.0,3.1
280,Pangnirtung,92,CA,1532562576,100,66.15,-65.72,6.54,1.52
281,Curillo,68,CO,1532562576,82,1.03,-75.92,21.84,0.67
282,Zaysan,20,KZ,1532562577,84,47.47,84.87,10.54,1.97
283,Khorramshahr,0,IR,1532559600,21,30.43,48.18,33.0,3.1
284,Lake Wales,1,US,1532559300,83,27.9,-81.59,31.0,2.1
285,Ardabil,12,IR,1532562577,88,38.25,48.3,15.44,0.92
286,Abha,40,SA,1532559600,56,18.22,42.5,22.0,0.77
287,Khorixas,0,NA,1532562578,47,-20.37,14.96,10.34,2.82
288,Castrillon,75,ES,1532559600,94,43.4,-6.79,21.0,1.0
289,Niteroi,90,BR,1532559600,93,-29.95,-51.16,16.0,6.2
290,Jvari,44,GE,1532562579,83,42.72,42.05,20.29,0.97
291,Praia,0,BR,1532559600,52,-20.25,-43.81,19.0,3.1
292,Praia da Vitoria,75,PT,1532559600,83,38.73,-27.07,21.0,3.72
293,Inyonga,48,TZ,1532562579,46,-6.72,32.06,16.79,2.57
294,Batticaloa,36,LK,1532562579,100,7.71,81.69,25.34,3.77
295,Santiago de Cao,75,PE,1532560020,88,-7.96,-79.24,18.0,4.6
296,Abu Kamal,0,SY,1532562580,30,34.45,40.92,27.19,3.32
297,Mhlume,0,SZ,1532559600,76,-26.03,31.81,13.0,2.6
298,Nuuk,75,GL,1532559000,93,64.17,-51.74,4.0,4.6
299,Panjakent,0,UZ,1532559600,43,39.5,67.61,22.0,3.1
300,Tabuk,68,PH,1532562581,94,17.41,121.44,22.59,0.87
301,Virginia Beach,75,US,1532560500,78,36.85,-75.98,28.0,3.6
302,Pangody,12,RU,1532562582,62,65.85,74.49,13.69,6.02
303,Oriximina,32,BR,1532562582,91,-1.77,-55.87,24.59,1.77
304,Sohna,75,IN,1532559600,89,28.25,77.07,29.0,2.1
305,Saint-Pierre,0,FR,1532561400,64,48.95,4.24,23.0,2.1
306,Belmonte,0,PT,1532562583,87,40.36,-7.35,14.44,1.42
307,Opuwo,0,NA,1532562584,55,-18.06,13.84,7.49,2.22
308,Chernenko,20,UA,1532562584,91,47.23,37.74,19.29,3.07
309,Ferkessedougou,80,CI,1532562585,95,9.6,-5.2,22.34,4.67
310,Aquiraz,0,BR,1532559600,83,-3.9,-38.39,26.0,4.6
311,Sao Paulo de Olivenca,36,BR,1532562586,76,-3.38,-68.87,25.34,1.17
312,San Pedro de Macoris,75,DO,1532559600,78,18.46,-69.3,30.0,3.1
313,Gubkinskiy,8,RU,1532562586,53,64.43,76.5,15.94,7.02
314,Ferme-Neuve,56,CA,1532562515,92,46.7,-75.45,21.09,1.07
315,Eirunepe,0,BR,1532562587,81,-6.66,-69.87,25.29,0.57
316,Methoni,0,GR,1532560800,88,36.82,21.7,21.0,2.6
317,Atar,0,MR,1532562587,24,20.52,-13.05,27.49,2.57
318,Sharon,1,US,1532560560,57,41.23,-80.49,27.0,3.6
319,Havoysund,75,NO,1532559000,93,71.0,24.66,12.0,1.5
320,Arlit,24,NE,1532562588,42,18.74,7.39,30.49,5.52
321,Kamenka,56,RU,1532562588,68,53.19,44.05,18.94,4.02
322,Carahue,8,CL,1532562589,100,-38.71,-73.16,3.59,1.67
323,Vagur,20,FO,1532562589,96,61.47,-6.81,12.09,5.57
324,Przhevalskoye,80,RU,1532562589,98,55.51,31.85,17.49,1.52
325,Isabela,76,PH,1532562327,88,10.2,122.99,25.89,2.12
326,Ngaoundere,88,CM,1532562590,97,7.32,13.58,18.34,1.17
327,Odemira,0,PT,1532562590,92,37.6,-8.64,16.09,3.67
328,Kirzhach,24,RU,1532562591,72,56.16,38.87,18.09,4.37
329,Kidderminster,0,GB,1532560800,64,52.39,-2.25,20.0,2.6
330,Buraydah,0,SA,1532559600,27,26.33,43.97,30.0,3.1
331,Alcaniz,0,ES,1532562591,75,41.05,-0.13,16.64,1.62
332,Mangai,8,CD,1532562592,62,-4.07,19.59,21.69,1.32
333,Dubai,0,AE,1532559600,49,25.27,55.3,33.0,3.6
334,Quatre Cocos,40,MU,1532559600,68,-20.21,57.76,22.0,5.7
335,Grindavik,75,IS,1532559600,93,63.84,-22.43,11.0,5.7
336,Kallaste,40,EE,1532559000,77,58.66,27.16,19.0,3.37
337,Maragogi,88,BR,1532562024,92,-9.01,-35.22,23.19,3.47
338,Touros,92,BR,1532562593,84,-5.2,-35.46,25.09,6.62
339,Obo,92,CF,1532562593,93,5.39,26.49,21.69,1.67
340,General Pico,0,AR,1532562594,82,-35.66,-63.75,5.84,4.77
341,Ponta Delgada,40,PT,1532561400,88,37.73,-25.67,20.0,6.2
342,Santa Fe,68,AR,1532562595,93,-31.62,-60.7,9.49,4.22
343,Riga,0,LV,1532560800,93,56.95,24.11,19.0,2.32
344,Muros,75,ES,1532561400,100,42.77,-9.06,18.0,2.92
345,Mohanur,44,IN,1532562596,74,11.06,78.14,25.49,6.62
346,Santa Isabel do Rio Negro,36,BR,1532562596,83,-0.41,-65.02,25.84,2.22
347,Takoradi,92,GH,1532562596,100,4.89,-1.75,23.89,5.72
348,Kosh-Agach,8,RU,1532562596,97,49.99,88.66,2.24,1.77
349,Sharan,8,AF,1532562597,81,33.15,68.78,9.29,1.12
350,Inhambane,0,MZ,1532562597,100,-23.87,35.38,16.94,2.52
351,Beisfjord,92,NO,1532560800,100,68.38,17.6,12.0,0.5
352,Havelock,20,US,1532560320,94,34.88,-76.9,28.0,3.6
353,Olavarria,80,AR,1532562598,93,-36.89,-60.32,6.29,3.67
354,Kralendijk,20,BQ,1532559300,78,12.15,-68.27,28.0,7.7
355,Hauterive,0,FR,1532561400,72,46.09,3.45,19.0,1.17
356,Iroquois Falls,40,CA,1532559600,57,48.76,-80.69,25.0,3.6
357,Dudinka,88,RU,1532562599,80,69.41,86.18,9.79,6.87
358,Chinsali,0,ZM,1532562599,70,-10.55,32.07,12.54,4.52
359,Kibaya,75,RW,1532561400,52,-2.2,30.56,20.0,1.22
360,Ndola,8,ZM,1532562600,86,-12.97,28.64,10.89,3.72
361,Sao Joao da Barra,0,BR,1532559600,88,-21.64,-41.05,20.0,2.87
362,Soanierana Ivongo,92,MG,1532562600,100,-16.92,49.59,20.59,5.57
363,Mmabatho,0,ZA,1532559600,52,-25.85,25.61,7.0,1.5
364,Pervomayskoye,44,RU,1532562601,84,57.07,86.23,13.09,1.67
365,General Roca,0,AR,1532559600,80,-39.03,-67.58,4.0,2.42
366,Loxstedt,64,DE,1532560800,88,53.47,8.65,23.0,2.6
367,Eastbourne,0,ZA,1532562602,68,-27.81,30.13,-0.92,0.77
368,Buta,48,CD,1532562602,90,2.79,24.73,22.24,1.07
369,Sipoo,0,FI,1532560800,87,60.38,25.27,16.0,0.5
370,Novodugino,24,RU,1532562603,96,55.63,34.3,17.04,1.67
371,Tocopilla,56,CL,1532562603,91,-22.09,-70.2,15.14,1.17
